year,faculty,NSF_awards,inflation_rate,Fed_Budget,PA_Budget_diff,GDP,CPI_inflation,Labor_BS,Labor_cond,Unemploy_BS,Unemploy
1913.0,,,,,,,9.883333333333333,,,,
1914.0,,,,,,,10.016666666666666,,,,
1915.0,,,,,,,10.108333333333333,,,,
1916.0,,,,,,,10.883333333333333,,,,
1917.0,,,,,,,12.824999999999998,,,,
1918.0,,,,,,,15.041666666666666,,,,
1919.0,,,,,,,17.333333333333332,,,,
1920.0,,,,,,,20.041666666666668,,,,
1921.0,,,,,,,17.85,,,,
1922.0,,,,,,,16.75,,,,
1923.0,,,,,,,17.05,,,,
1924.0,,,,,,,17.124999999999996,,,,
1925.0,,,,,,,17.541666666666664,,,,
1926.0,,,,,,,17.7,,,,
1927.0,,,,,,,17.358333333333338,,,,
1928.0,,,,,,,17.158333333333335,,,,
1929.0,,,,,,,17.158333333333335,,,,
1930.0,,,,,,,16.7,,,,
1931.0,,,,,,,15.208333333333334,,,,
1932.0,,,,,,,13.641666666666666,,,,
1933.0,,,,,,,12.93333333333333,,,,
1934.0,,,,,,,13.383333333333333,,,,
1935.0,,,,,,,13.725000000000001,,,,
1936.0,,,,,,,13.866666666666667,,,,
1937.0,,,,,,,14.383333333333333,,,,
1938.0,,,,,,,14.091666666666667,,,,
1939.0,,,,,,,13.908333333333333,,,,
1940.0,,,,,,,14.008333333333333,,,,
1941.0,,,,,,,14.725000000000001,,,,
1942.0,,,,,,,16.333333333333332,,,,
1943.0,,,,,,,17.308333333333334,,,,
1944.0,,,,,,,17.591666666666665,,,,
1945.0,,,,,,,17.991666666666664,,,,
1946.0,,,,,,,19.51666666666667,,,,
1947.0,,,,,,,22.325,,,,
1948.0,,,,,,,24.04166666666667,,,,3.766666666666666
1949.0,,,,,,,23.808333333333334,,,,5.908333333333334
1950.0,,,,,,74956.84765625,24.066666666666666,,,,5.324999999999999
1951.0,,,,,,86728.32421875,25.95833333333333,,,,3.3333333333333335
1952.0,,,,,,91835.19921875,26.549999999999997,,,,3.033333333333333
1953.0,,,,,,97304.3984375,26.766666666666662,,,,2.9250000000000003
1954.0,,,,,,97637.2734375,26.849999999999998,,,,5.55
1955.0,,,,,,106369.8984375,26.775000000000002,,,,4.383333333333333
1956.0,,,,,,112338.1484375,27.183333333333337,,,,4.141666666666667
1957.0,,,,,,118509.8984375,28.091666666666665,,,,4.258333333333334
1958.0,,,,,,120307.1484375,28.85833333333333,,,,6.8
1959.0,,,,,,130413.57421875,29.149999999999995,,,,5.4750000000000005
1960.0,,,,,,135595.57421875,29.575000000000003,,,,5.508333333333334
1961.0,,,,,,140552.44921875,29.891666666666666,,,,6.683333333333333
1962.0,,,,,,150980.3984375,30.249999999999996,,,,5.541666666666667
1963.0,,,,,,159362.875,30.625,,,,5.666666666666667
1964.0,,,,,,171115.3984375,31.016666666666666,,,,5.191666666666667
1965.0,,,,,,185572.59765625,31.508333333333336,,,,4.5249999999999995
1966.0,,,,,,203353.44921875,32.45833333333332,,,,3.783333333333333
1967.0,,,,,,214989.09765625,33.35833333333333,,,,3.841666666666667
1968.0,,,,,,235161.6484375,34.78333333333334,,,,3.5833333333333335
1969.0,,,,,,254403.7734375,36.68333333333334,,,,3.5083333333333333
1970.0,474000.0,,,,,268327.65625,38.824999999999996,,,,4.933333333333334
1971.0,492000.0,,,,,291212.484375,40.49166666666667,,,,5.958333333333333
1972.0,500000.0,,,,,319778.03125,41.81666666666667,,,,5.616666666666667
1973.0,527000.0,,,,,356344.03125,44.4,,,,4.8916666666666675
1974.0,567000.0,,,,,386310.65625,49.30833333333334,,,,5.591666666666668
1975.0,628000.0,,,,,421226.28125,53.81666666666666,,,,8.466666666666665
1976.0,633000.0,,,,,468353.15625,56.90833333333334,,,,7.716666666666669
1977.0,678000.0,,,,,520456.28125,60.60833333333333,,,,7.066666666666667
1978.0,676500.0,,,,,587899.734375,65.23333333333333,,,,6.066666666666666
1979.0,675000.0,,,,,656831.609375,72.575,,,,5.833333333333333
1980.0,686000.0,,13.5,5645.806,0.0,714327.15625,82.40833333333332,,,,7.141666666666666
1981.0,705000.0,,10.4,6934.329,-200.98100000000068,801760.328125,90.925,,,,7.6000000000000005
1982.0,710000.0,,6.2,7282.939,412.0640000000003,835947.328125,96.5,,,,9.708333333333334
1983.0,724000.0,,3.2,7358.132,1969.8269999999993,908509.15625,99.60000000000001,,,,9.616666666666665
1984.0,717000.0,,4.4,6891.971,671.433,1009403.53125,103.88333333333333,,,,7.525000000000001
1985.0,715000.0,,3.5,9684.133,1746.5590000000002,1084745.125,107.56666666666666,,,,7.191666666666667
1986.0,722000.0,,1.9,8723.833,1445.5200000000004,1144908.125,109.60833333333335,,,,6.991666666666666
1987.0,793070.0,,3.6,8944.795,1965.4250000000002,1213804.0625,113.62500000000001,,,,6.191666666666667
1988.0,808645.0,,4.1,8850.084,2587.402000000001,1309109.5,118.25833333333333,,,,5.491666666666667
1989.0,824220.0,,4.8,10913.033,-132.96500000000015,1410394.875,123.96666666666665,,,,5.266666666666667
1990.0,825236.0,,5.4,12159.458,-213.1299999999992,1490786.125,130.65833333333333,,,,5.616666666666667
1991.0,826252.0,,4.2,13165.889,485.28399999999965,1539532.3125,136.1916666666667,,,,6.816666666666666
1992.0,870863.0,,3.0,15600.923,281.45600000000013,1630081.8125,140.31666666666666,81.34166666666667,-0.8076558333333334,3.158333333333333,7.508333333333333
1993.0,915474.0,,3.0,15788.397,205.97100000000137,1714639.625,144.45833333333331,81.13333333333334,-0.5888283333333334,2.941666666666667,6.900000000000001
1994.0,923590.0,,2.6,9419.346,-1416.7389999999996,1821809.125,148.22500000000002,81.14166666666667,0.019887500000000002,2.5833333333333335,6.083333333333333
1995.0,931706.0,,2.8,14075.117,-239.41799999999967,1909937.3125,152.38333333333333,80.96666666666668,0.3365641666666667,2.45,5.608333333333333
1996.0,960759.5,,2.9,12289.881,-1773.3910000000014,2018280.4375,156.84999999999997,80.50833333333333,0.40876416666666665,2.2583333333333337,5.416666666666667
1997.0,989813.0,,2.3,12970.569,108.49399999999878,2144388.125,160.51666666666665,80.45833333333333,0.7709924999999999,2.0250000000000004,4.95
1998.0,1013671.0,,1.5,13246.66,-364.9279999999999,2265704.1875,163.00833333333335,80.20833333333333,0.9865150000000001,1.7916666666666667,4.508333333333334
1999.0,1037529.0,,2.2,12862.266,157.51599999999962,2407792.9375,166.575,79.9,1.2188591666666666,1.8000000000000005,4.216666666666667
2000.0,1075356.0,,3.4,11037.116,173.72199999999975,2562738.0,172.19999999999996,79.38333333333334,1.3480933333333331,1.6749999999999996,3.9916666666666667
2001.0,1113183.0,,2.8,9630.1,544.5509999999995,2645482.25,177.0666666666667,78.9,0.7061941666666668,2.25,4.733333333333333
2002.0,1143388.0,,1.6,18704.401,1937.5690000000031,2732277.0625,179.875,78.59166666666668,0.0077941666666666645,2.908333333333333,5.7749999999999995
2003.0,1173593.0,,2.3,22676.318,805.8760000000002,2864112.375,183.95833333333334,78.15833333333332,-0.324775,3.0833333333333335,5.991666666666667
2004.0,1232009.5,,2.7,24678.534,-321.3859999999986,3054298.9375,188.88333333333335,77.88333333333333,0.048830000000000005,2.7166666666666663,5.533333333333334
2005.0,1290426.0,,3.4,28267.338,-286.91200000000026,3259799.25,195.29166666666666,77.89999999999999,0.3390633333333333,2.316666666666667,5.066666666666666
2006.0,1331006.5,,3.2,55877.866,29331.186,3453895.75,201.5916666666667,77.89166666666668,0.6077133333333333,2.0333333333333337,4.616666666666666
2007.0,1371587.0,,2.9,23841.951,2070.678,3618556.75,207.3424166666667,77.825,0.4621199999999999,2.0166666666666666,4.616666666666666
2008.0,1405330.5,,3.8,24454.514,5435.686999999998,3692465.4375,215.3025,77.84166666666667,-0.4138458333333333,2.566666666666667,5.7749999999999995
2009.0,1439074.0,,-0.3,-4621.081,-26192.708,3619516.8125,214.537,77.46666666666667,-2.147020833333333,4.616666666666667,9.266666666666667
2010.0,1481771.5,,1.6,8349.834,-12697.383,3762242.75,218.05550000000002,76.73333333333335,-2.2185799999999998,4.708333333333333,9.616666666666665
2011.0,1524469.0,5460.18,3.1,685.174,-29568.623,3899932.875,224.93916666666667,76.45,-1.9355199999999997,4.325,8.95
2012.0,1534925.0,5542.499999999999,2.1,-4165.607,-25885.264,4063492.5,229.5939166666667,75.925,-1.5806508333333333,4.033333333333333,8.066666666666665
2013.0,1545381.0,5361.639999999999,1.5,-2561.005,-9722.378,4220170.875,232.95708333333332,75.43333333333334,-1.2558683333333334,3.6916666666666678,7.375
2014.0,1548818.5,6159.589999999999,1.6,11326.765,6690.017,4402034.625,236.73616666666666,74.93333333333332,-0.7087966666666666,3.1750000000000003,6.166666666666667
2015.0,1552256.0,5678.029999999999,0.1,44151.09,13306.614999999998,4573754.875,237.01700000000002,74.40833333333333,-0.19896583333333331,2.5749999999999997,5.291666666666666
2016.0,1546081.0,6826.24,1.3,32034.744,8124.360999999997,4701228.5,240.00716666666665,74.075,0.035583333333333335,2.5083333333333333,4.866666666666666
2017.0,1545653.0,5905.220000000001,2.1,70656.05,41567.139,4903025.75,245.11958333333334,73.81666666666666,0.40924083333333333,2.2916666666666665,4.35
2018.0,1543212.0,8129.349999999999,2.4,23441.344,82.74400000000242,5164129.0,251.10683333333338,73.8,0.8222624999999999,2.1333333333333333,3.9000000000000004
2019.0,1548824.0,6305.6,1.8,29905.319,6168.065999999999,5380348.875,255.65741666666668,73.76666666666667,0.9470641666666667,2.108333333333334,3.666666666666666
2020.0,1489565.0,6734.8099999999995,1.2,45667.257,13106.643999999997,5330737.5,258.8111666666667,72.41666666666667,-0.5368283333333334,4.825,8.091666666666667
2021.0,1499236.0,6759.920000000001,4.7,45771.126,18571.673999999995,5898507.875,270.96975000000003,72.16666666666667,0.5422816666666667,3.058333333333333,5.366666666666666
2022.0,1507641.0,5861.93,8.0,,,6436027.25,292.6549166666667,72.85833333333333,1.3190441666666666,1.9916666666666665,3.649999999999999
2023.0,,6026.66,4.1,,,6840233.75,304.7015833333333,72.99999999999999,0.9599691666666667,2.066666666666667,3.6333333333333333
2024.0,,,3.0,,,7115189.0,313.056,72.67999999999999,0.5606622222222222,2.3399999999999994,4.04
