DATE,NGDPSAXDCUSQ
1950-01-01,70207.0
1950-04-01,72595.796875
1950-07-01,77038.296875
1950-10-01,79986.296875
1951-01-01,84000.0
1951-04-01,86022.5
1951-07-01,87846.296875
1951-10-01,89044.5
1952-01-01,89955.0
1952-04-01,90257.5
1952-07-01,91925.296875
1952-10-01,95203.0
1953-01-01,96995.0
1953-04-01,97937.296875
1953-07-01,97792.796875
1953-10-01,96492.5
1954-01-01,96336.296875
1954-04-01,96530.296875
1954-07-01,97749.0
1954-10-01,99933.5
1955-01-01,103268.296875
1955-04-01,105383.0
1955-07-01,107555.296875
1955-10-01,109273.0
1956-01-01,109936.5
1956-04-01,111502.5
1956-07-01,112797.796875
1956-10-01,115115.796875
1957-01-01,117444.796875
1957-04-01,118006.296875
1957-07-01,119872.5
1957-10-01,118716.0
1958-01-01,116885.0
1958-04-01,117994.5
1958-07-01,121460.296875
1958-10-01,124888.796875
1959-01-01,127582.5
1959-04-01,130663.296875
1959-07-01,131258.5
1959-10-01,132150.0
1960-01-01,135662.0
1960-04-01,135270.0
1960-07-01,136401.0
1960-10-01,135049.296875
1961-01-01,136254.5
1961-04-01,138886.296875
1961-07-01,141916.0
1961-10-01,145153.0
1962-01-01,148503.296875
1962-04-01,150091.5
1962-07-01,152256.796875
1962-10-01,153070.0
1963-01-01,155418.0
1963-04-01,157438.0
1963-07-01,161111.0
1963-10-01,163484.5
1964-01-01,167455.5
1964-04-01,169668.5
1964-07-01,173007.796875
1964-10-01,174329.796875
1965-01-01,179447.5
1965-04-01,182547.796875
1965-07-01,187330.796875
1965-10-01,192964.296875
1966-01-01,198933.5
1966-04-01,201245.296875
1966-07-01,204909.5
1966-10-01,208325.5
1967-01-01,211042.5
1967-04-01,212245.796875
1967-07-01,216308.296875
1967-10-01,220359.796875
1968-01-01,227346.796875
1968-04-01,233586.0
1968-07-01,237706.296875
1968-10-01,242007.5
1969-01-01,248334.296875
1969-04-01,252255.0
1969-07-01,257489.0
1969-10-01,259536.796875
1970-01-01,262800.0
1970-04-01,266843.8125
1970-07-01,271514.8125
1970-10-01,272152.0
1971-01-01,283789.0
1971-04-01,289067.8125
1971-07-01,294418.8125
1971-10-01,297574.3125
1972-01-01,307652.3125
1972-04-01,316592.3125
1972-07-01,322641.5
1972-10-01,332226.0
1973-01-01,344372.5
1973-04-01,353471.8125
1973-07-01,358459.5
1973-10-01,369072.3125
1974-01-01,372802.3125
1974-04-01,382514.0
1974-07-01,390006.5
1974-10-01,399919.8125
1975-01-01,404029.0
1975-04-01,412963.3125
1975-07-01,427455.0
1975-10-01,440457.8125
1976-01-01,455121.8125
1976-04-01,463083.0
1976-07-01,471639.5
1976-10-01,483568.3125
1977-01-01,497162.0
1977-04-01,513977.3125
1977-07-01,529618.3125
1977-10-01,541067.5
1978-01-01,550690.0
1978-04-01,582908.3125
1978-07-01,598763.3125
1978-10-01,619237.3125
1979-01-01,631652.5
1979-04-01,647811.8125
1979-07-01,666891.3125
1979-10-01,680970.8125
1980-01-01,697460.5
1980-04-01,699338.0
1980-07-01,714120.8125
1980-10-01,746389.3125
1981-01-01,781051.5
1981-04-01,790633.0
1981-07-01,815152.3125
1981-10-01,820204.5
1982-01-01,818575.5
1982-04-01,832993.0
1982-07-01,841580.5
1982-10-01,850640.3125
1983-01-01,868353.3125
1983-04-01,894712.0
1983-07-01,922294.8125
1983-10-01,948676.5
1984-01-01,977013.5
1984-04-01,1002400.3125
1984-07-01,1021062.5
1984-10-01,1037137.8125
1985-01-01,1057542.0
1985-04-01,1073721.75
1985-07-01,1096693.25
1985-10-01,1111023.5
1986-01-01,1126973.5
1986-04-01,1136335.0
1986-07-01,1151917.25
1986-10-01,1164406.75
1987-01-01,1180539.0
1987-04-01,1201540.0
1987-07-01,1221138.75
1987-10-01,1251998.5
1988-01-01,1268343.0
1988-04-01,1297509.0
1988-07-01,1320708.75
1988-10-01,1349877.25
1989-01-01,1377813.25
1989-04-01,1403115.75
1989-07-01,1423841.25
1989-10-01,1436809.25
1990-01-01,1468175.25
1990-04-01,1490007.0
1990-07-01,1503779.0
1990-10-01,1501183.25
1991-01-01,1508794.5
1991-04-01,1531715.5
1991-07-01,1551484.25
1991-10-01,1566135.0
1992-01-01,1590775.5
1992-04-01,1617690.75
1992-07-01,1641660.25
1992-10-01,1670200.75
1993-01-01,1682364.75
1993-04-01,1702234.75
1993-07-01,1720524.5
1993-10-01,1753434.5
1994-01-01,1778913.0
1994-04-01,1811732.75
1994-07-01,1832768.75
1994-10-01,1863822.0
1995-01-01,1880572.25
1995-04-01,1895249.25
1995-07-01,1920781.25
1995-10-01,1943146.5
1996-01-01,1967117.0
1996-04-01,2008210.0
1996-07-01,2032852.0
1996-10-01,2064942.75
1997-01-01,2090663.75
1997-04-01,2129706.25
1997-07-01,2165705.75
1997-10-01,2191476.75
1998-01-01,2216620.0
1998-04-01,2242424.75
1998-07-01,2280274.25
1998-10-01,2323497.75
1999-01-01,2352920.5
1999-04-01,2381552.5
1999-07-01,2421656.5
1999-10-01,2475042.25
2000-01-01,2500544.75
2000-04-01,2561930.0
2000-07-01,2579541.25
2000-10-01,2608936.0
2001-01-01,2617557.75
2001-04-01,2649750.0
2001-07-01,2649505.0
2001-10-01,2665116.25
2002-01-01,2695875.0
2002-04-01,2721865.0
2002-07-01,2746010.0
2002-10-01,2765358.25
2003-01-01,2793532.25
2003-04-01,2828191.5
2003-07-01,2891667.25
2003-10-01,2943058.5
2004-01-01,2980861.75
2004-04-01,3028203.75
2004-07-01,3076326.75
2004-10-01,3131803.5
2005-01-01,3191821.5
2005-04-01,3230664.0
2005-07-01,3285660.5
2005-10-01,3331051.0
2006-01-01,3399790.0
2006-04-01,3438356.0
2006-07-01,3467547.0
2006-10-01,3509890.0
2007-01-01,3553912.75
2007-04-01,3600520.5
2007-07-01,3641029.25
2007-10-01,3678764.5
2008-01-01,3676634.5
2008-04-01,3716425.25
2008-07-01,3724749.75
2008-10-01,3652052.25
2009-01-01,3607725.5
2009-04-01,3595309.0
2009-07-01,3612220.5
2009-10-01,3662812.25
2010-01-01,3691152.5
2010-04-01,3745048.25
2010-07-01,3785401.75
2010-10-01,3827368.5
2011-01-01,3837862.0
2011-04-01,3889384.75
2011-07-01,3911920.0
2011-10-01,3960564.75
2012-01-01,4017201.25
2012-04-01,4051778.75
2012-07-01,4079885.25
2012-10-01,4105104.75
2013-01-01,4162047.25
2013-04-01,4182171.75
2013-07-01,4238459.5
2013-10-01,4298005.0
2014-01-01,4299434.5
2014-04-01,4379627.0
2014-07-01,4451057.0
2014-10-01,4478020.0
2015-01-01,4515882.5
2015-04-01,4569946.0
2015-07-01,4600406.5
2015-10-01,4608784.5
2016-01-01,4631483.5
2016-04-01,4677925.5
2016-07-01,4723160.0
2016-10-01,4772345.0
2017-01-01,4820021.0
2017-04-01,4859661.0
2017-07-01,4923149.0
2017-10-01,5009272.0
2018-01-01,5082138.5
2018-04-01,5145228.0
2018-07-01,5199682.5
2018-10-01,5229467.0
2019-01-01,5276033.5
2019-04-01,5346194.0
2019-07-01,5423570.5
2019-10-01,5475597.5
2020-01-01,5426628.5
2020-04-01,4978286.0
2020-07-01,5411910.0
2020-10-01,5506125.5
2021-01-01,5650046.5
2021-04-01,5823090.5
2021-07-01,5957243.5
2021-10-01,6163651.0
2022-01-01,6257279.0
2022-04-01,6386068.5
2022-07-01,6498660.0
2022-10-01,6602101.5
2023-01-01,6703400.5
2023-04-01,6765753.0
2023-07-01,6902532.0
2023-10-01,6989249.5
2024-01-01,7067293.5
2024-04-01,7163084.5
